1:10 | Josh: Hello Grash
1:11 | PEARL: So nice to see that youre happy even after this!
1:11 | Joe: yes ali 
1:11 | Cosmic: hi grossie
1:11 | Chris Frohn: :goodvibes:
1:12 | Alex Pereira: Pog
1:12 | Komojo: HEY GROSSIE
1:12 | Ryan Beland: 
1:12 | Hampus 44: hello bruv kek
1:12 | Henry Hoover: LETS GO BRUV
1:12 | D. Darced: hi
1:12 | Aravin Vadivelu: my boyyyy
1:13 | Mang0 Gamin: GRSOSSIE1
1:13 | Genetics Tk: Chief 
1:13 | GingeLive: GROSSIE I LOVE YOU XXXXXXXXX
1:14 | Sohail316: @Gross Gore - Ali Larsen hope you're good
1:14 | Vinisher Da Otaku: Sup sup
1:14 | Plumage: I strive to become a good youtuber. I also want to make lots of friends in the community. I'm 48 & was born in a London. I started YT in 2006. I Live in the UK but I want to live in America one day.
1:14 | Szblcs: HI GROSSIE
1:15 | young sinatra: grossie i love you you deserve the world
1:15 | Murat: hi grossie love you 
1:15 | Janek Paszkiewicz: Hi grossie 
1:15 | Sri Praveen: :yt:
1:16 | ggtouch: cringeeeeeee
1:16 | Terence Molloy: 
1:17 | owen chan: poggers
1:17 | Martin Nikolovski: Hey grossie
1:17 | Vincenzo Tornincasa: GROSSIE GOREEE
1:17 | batu ab: HELLO ALI
1:18 | Tevrat Ça: love from turkey
1:18 | Guy Green: Hello ali 
1:18 | Al H: LESSSGOOO DUUUUUUUUDE
1:18 | Ruletas: Buenos días
1:19 | Bruce Thrillis: @Gross Gore - Ali Larsen Welcome brother <333333333333333333333333
1:19 | IM JUST HARRY: hi
1:19 | Michael Lamiman: Lets gooo! Grossgore live
1:20 | David Benatar: 
1:20 | Lixue: Grossie! dont let the haters get u down, your a diff person now!!
1:20 | elder_turtle: good to see the stream got up just fine!
1:21 | Filthy Cazzual: <3 Grossie
1:21 | Ngee: 
1:21 | Mike Litoris: BOOBA
1:21 | Chris Frohn: modCheck
1:22 | Kubaa SM: ALLIIII
1:22 | Freakson: GROSSIE!
1:23 | Chawwa: Hey grossie
1:23 | Steven ediberto: letss goo
1:24 | TeamSoloKappa: Im not mucking around
1:24 | SirBludro: SirBludro 
1:24 | Mang0 Gamin: 
1:26 | Loosi: why are you streaming on youtube now? @Gross Gore - Ali Larsen 
